period,drL_Boris,drL_RK4,drL_SPPINN
713,7.070647768654696e-15,1.9926143709823317e-05,3.660146680785849e-05
714,7.251946429389432e-15,1.9954091965862093e-05,0.0004296407082366525
715,7.433245090124167e-15,1.9982040225889435e-05,4.599499030002673e-06
716,7.070647768654696e-15,2.000998848990535e-05,0.00039129274358558233
717,7.251946429389432e-15,2.003793675718464e-05,0.00012211027504480373
718,6.708050447185224e-15,2.0065885028452504e-05,5.4303629506947944e-05
719,7.433245090124167e-15,2.0093833304252833e-05,0.00017534550009013638
720,6.526751786450488e-15,2.012178158259134e-05,0.0003494225134798236
721,6.345453125715753e-15,2.0149729865462315e-05,6.257328406267006e-05
722,6.708050447185224e-15,2.017767815123407e-05,0.0005955896354778078
723,6.88934910791996e-15,2.0205626441356993e-05,0.0006221579232783057
724,6.88934910791996e-15,2.0233574735468484e-05,0.0007887115146106466
725,7.251946429389432e-15,2.026152303320595e-05,0.0013295596090850464
726,7.433245090124167e-15,2.0289471334931986e-05,0.001186639781005089
727,6.708050447185224e-15,2.0317419640102698e-05,0.001904348358416264
728,7.251946429389432e-15,2.034536794908068e-05,0.001887154805123872
729,7.433245090124167e-15,2.0373316261684636e-05,0.002314546153729957
730,7.433245090124167e-15,2.0401264577914566e-05,0.0027844408491930826
731,7.433245090124167e-15,2.042921289777047e-05,0.002804966753627136
732,7.614543750858903e-15,2.0457161221433645e-05,0.003598085690210581
733,7.795842411593639e-15,2.0485109549085387e-05,0.0035420882390412587
734,8.15843973306311e-15,2.0513057880907002e-05,0.004166064196220529
735,8.15843973306311e-15,2.0541006216717186e-05,0.004490064971142117
736,8.521037054532582e-15,2.056895455542815e-05,0.0046674531644563646
737,8.15843973306311e-15,2.0596902898127684e-05,0.005412662943825332
738,8.339738393797847e-15,2.0624851244815787e-05,0.005328001735940622
739,9.06493303673679e-15,2.0652799596761553e-05,0.0060559076707418814
740,8.883634376002054e-15,2.06807479510642e-05,0.006184034677700931
741,9.246231697471526e-15,2.0708696309355422e-05,0.006488648567550369
742,9.427530358206262e-15,2.073664467145391e-05,0.0070682733643398655
743,9.790127679675733e-15,2.0764593037722272e-05,0.006967609689287643
744,1.033402366187994e-14,2.0792541407616605e-05,0.0076907868904753825
745,1.0152725001145205e-14,2.0820489780593013e-05,0.007605517704636087
746,9.971426340410469e-15,2.0848438157739292e-05,0.007990643440823378
747,1.033402366187994e-14,2.087638653941804e-05,0.00831246782220903
748,1.0152725001145205e-14,2.090433492436016e-05,0.008209043169312534
749,9.971426340410469e-15,2.0932283313290853e-05,0.008817722760669557
750,9.790127679675733e-15,2.0960231705847518e-05,0.008535096043428916
751,1.033402366187994e-14,2.098818010166756e-05,0.008944117250715014
752,9.427530358206262e-15,2.1016128501838768e-05,0.00895728261029722
753,9.790127679675733e-15,2.104407690563595e-05,0.008864014059076915
754,9.790127679675733e-15,2.1072025312333912e-05,0.009263495918937912
755,1.033402366187994e-14,2.1099973724108237e-05,0.008828609072526394
756,9.427530358206262e-15,2.1127922139327235e-05,0.00920230207705551
757,9.06493303673679e-15,2.1155870557990906e-05,0.00890582811219232
