period,dK_RK4,dPx_RK4,dK_Boris,dPx_Boris,dK_SP-PINN (frozen),dPx_SP-PINN (frozen),dK_SP-PINN (time-coord),dPx_SP-PINN (time-coord)
631,4.671729034733119e-06,2.004779170450277e-06,0.00017861586621470416,0.020870470142499986,0.02139771296736459,1.6160624776162535e-06,8.786988229481096e-06,5.322656205342113e-06
634,4.701551040042773e-06,2.019565779942667e-06,0.0004951156671566537,0.0029705082768156643,0.00018223631512981342,1.6315618822648759e-06,3.854947101977757e-06,4.0474324336514655e-07
637,4.731439000593696e-06,2.034354904978386e-06,0.0004973067814173504,0.00224828759094442,0.021477478875216782,1.6476952475752427e-06,1.5005792925570915e-05,5.469334626528877e-06
640,4.776751485802144e-06,2.3657925467546193e-06,0.00041938433385357854,0.01154690695972116,2.794860407329125e-06,5.786053192124996e-09,4.23218661316227e-06,1.4678072900231598e-05
643,4.7612926845630454e-06,2.0491407111133952e-06,0.00015931767378374317,0.021652209047242632,0.02139572252689259,1.7377911178950711e-06,1.4376049339404062e-05,3.7821210816524342e-06
646,4.791114696089949e-06,2.0639260343013888e-06,0.0004949154212354756,0.0030506205300691036,0.00018063745092344874,1.6044216140098655e-06,3.1269006601775118e-06,1.4238690682066846e-06
649,4.821002664634477e-06,2.078715862330327e-06,0.0004973299812522924,0.0021830961125295367,0.02147960947686567,1.7153059195251785e-06,9.680749639251474e-06,4.078934207507601e-06
652,4.866315057916459e-06,2.410156790366713e-06,0.00042358394724661963,0.011298883803536386,2.899969359870802e-06,4.090507532694687e-08,3.1126384560931086e-06,5.104160852198447e-06
655,4.850856317517582e-06,2.093501699551581e-06,0.00013896245460509604,0.022482770808141872,0.021393579426655762,1.6279365124827194e-06,1.1206358808024675e-05,7.441227336535405e-07
658,4.88067833792627e-06,2.1082942971428764e-06,0.0004947016790177727,0.0031316198321453825,0.00017903108803540846,1.62675982040561e-06,5.127219450784537e-06,5.497758652772688e-07
661,4.910566311799869e-06,2.123074758220156e-06,0.0004973506361816149,0.00211824905588176,0.021481861877135522,1.6565710374560894e-06,1.019810165736601e-05,2.1767688209717306e-06
664,4.9558786032743996e-06,2.4545122760954996e-06,0.00042755601909849617,0.011059044026954012,3.0153580515834832e-06,6.414364350781909e-08,1.3459554057959622e-06,3.1295215046078795e-06
667,4.940419930932194e-06,2.137855637185382e-06,0.00011757322075234278,0.023365384364444797,0.021391521435533356,1.6870408723335117e-06,1.0404490720539172e-05,2.6237685055718885e-06
670,4.970241958446309e-06,2.1526476452482513e-06,0.0004944737177012826,0.0032135360579985672,0.00017744733841595917,1.652024127496432e-06,5.238361862502927e-06,2.853139412284378e-06
673,5.000129942978049e-06,2.1674342010058467e-06,0.0004973689486336141,0.002053731139938675,0.021483970060512725,1.6607389590195254e-06,1.559681051332973e-05,7.315090019943682e-06
676,5.045442126094812e-06,2.498875061540673e-06,0.00043131400974782963,0.010826952512409171,3.1782925776768778e-06,6.252559536790159e-08,3.6646241416971037e-06,1.3787011294397189e-05
679,5.029983530135951e-06,2.1822267044502297e-06,9.5211159033326e-05,0.02430303725444638,0.02138941727106136,1.6822410420225253e-06,1.3042570492061145e-05,9.690031155251688e-07
682,5.059805564755493e-06,2.1970113930347424e-06,0.0004942307807356272,0.003296400126620469,0.0001758062638197444,1.5698896416171948e-06,2.066920097298919e-06,4.1260253058617025e-06
685,5.089693552839947e-06,2.2117983762282023e-06,0.0004973851108331928,0.001989527323760676,0.02148619053703449,1.7287522560138768e-06,8.918049434925024e-06,5.3212209694120105e-06
688,5.135005619827382e-06,2.543237081154004e-06,0.00043487047089030284,0.010602203641421504,3.3361135834963918e-06,4.0966018133303805e-08,5.9515026447076735e-06,4.9688641285960955e-06
691,5.119547107135247e-06,2.2265805557086793e-06,7.199055084883277e-05,0.025298182310329764,0.021387370118548077,1.6655219252648124e-06,1.0997719816607798e-05,9.465950570053394e-07
694,5.149369151524752e-06,2.2413704050538996e-06,0.0004939720761321098,0.003380243997982646,0.00017425049598518427,1.6781198928228491e-06,4.954723477723633e-06,4.871731293931703e-07
697,5.179257151155525e-06,2.256151733437406e-06,0.000497399305126045,0.0019256228732751346,0.02148837885550403,1.6107111293628407e-06,1.0741792337398692e-05,1.9992132429536014e-06
700,5.224569091022424e-06,2.587585989699548e-06,0.00043823711389112674,0.010384418939766826,3.400740744896602e-06,1.337290589376039e-08,3.604660626432832e-06,4.890396313683709e-06
703,5.209110668147332e-06,2.2709363878270494e-06,4.809799164950945e-05,0.026352291882986822,0.021385219087798113,1.6560035867030365e-06,1.2227360080885319e-05,2.0867242644939665e-07
706,5.238932718754086e-06,2.2857236001705417e-06,0.0004936967746305143,0.0034651007946759904,0.0001726111486126669,1.5959624299899389e-06,6.255172379177054e-06,5.126467879090768e-06
709,5.268820726378465e-06,2.3005017122379456e-06,0.0004974117042699788,0.0018620032741640813,0.02149050821407883,1.7303970751836317e-06,1.532854664532124e-05,7.513695477356919e-06
712,5.314132532130422e-06,2.631939067798683e-06,0.000441424872665408,0.010173244865023356,3.6849575599795514e-06,1.673505778398976e-11,3.515387988040075e-06,1.1340654702429731e-05
715,5.29867421050767e-06,2.315285926535182e-06,2.381636438086865e-05,0.02746519259755642,0.021383217861125736,1.7232975944025952e-06,1.0963468414004751e-05,2.3897363823355278e-06
718,5.328496268219851e-06,2.3300761859967878e-06,0.0004934040077158031,0.003551004815516734,0.00017101895516180576,1.6107491551675679e-06,1.3179549815944824e-06,6.26448924645473e-06
721,5.358384285614193e-06,2.3448615664722894e-06,0.000497422471727127,0.001798654276128131,0.021492756277591063,1.6543572485261393e-06,8.830983752261545e-06,5.5066235087330995e-06
724,5.403695943595466e-06,2.6762996836460218e-06,0.0004444439617676821,0.009968350842786355,3.6968004618609385e-06,8.166616272120564e-09,7.700314876624148e-06,5.972215169514072e-06
727,5.388237735992618e-06,2.3596468630149303e-06,4.467087366677447e-07,0.028634090124454836,0.021381061514436084,1.6036003729347215e-06,1.170737192257576e-05,1.8010298004078606e-06
730,5.418059805251119e-06,2.3744405477366115e-06,0.000493092865623268,0.0036379916333295625,0.00016943455005424823,1.6681698937759393e-06,4.851473108580251e-06,8.992844251487497e-07
733,5.447947829750888e-06,2.3892250957668892e-06,0.0004974317619330648,0.0017355618529755201,0.021494881641113572,1.6722997540075113e-06,1.1329759905365222e-05,1.337053069150329e-06
736,5.49325933052458e-06,2.720661653743406e-06,0.00044730392986380707,0.00976942743195508,3.957207458604728e-06,3.467347031715917e-08,4.885855923508764e-06,6.601176053777635e-06
739,5.477801243713998e-06,2.4040140249592667e-06,2.41278187079752e-05,0.029852167450002298,0.021379010652905706,1.7355179016131927e-06,1.3310980388148153e-05,2.450359549932557e-06
742,5.507623320966104e-06,2.418803684900439e-06,0.0004927623950896631,0.003726098128528754,0.00016779637336217235,1.5730536127023242e-06,6.785275497023235e-06,6.035730486519952e-06
745,5.537511355235836e-06,2.433592105166582e-06,0.0004974397205241843,0.0016727121828361557,0.021497089521169244,1.6881676851987493e-06,1.4443623852500309e-05,6.071373737981389e-06
748,5.582822685590294e-06,2.7650313081384326e-06,0.00045001370892361336,0.009576184707475122,4.082342221045643e-06,6.0352088659954e-08,3.439217052259025e-06,8.119442203913252e-06
751,5.567364732783631e-06,2.448374782026974e-06,4.647909874477829e-05,0.031106620708142074,0.0213769413806979,1.6419555839419786e-06,9.177047012975947e-06,5.472230300007652e-06
754,5.597186818917521e-06,2.463157273036032e-06,0.0004924115970492693,0.0038153625726620177,0.00016622719353165394,1.6535989104671245e-06,1.0790691806761288e-06,7.193492151724712e-06
757,5.627074863845394e-06,2.477941683620699e-06,0.0004974464845970417,0.0016100916776475849,0.021499262507336248,1.685449453336929e-06,9.26678168600148e-06,4.272272721594916e-06
760,5.672386012456343e-06,2.8093782995508576e-06,0.00045258165956685303,0.009388350746768692,4.237044435750903e-06,6.989445267002736e-08,8.2463948625211e-06,7.854651496330689e-06
763,5.656928205866052e-06,2.492724435754212e-06,6.655218134188345e-05,0.03237600242134686,0.02137480746005771,1.6667032340933474e-06,1.2696478077778295e-05,3.0499535510486453e-06
766,5.6867503026580835e-06,2.5075067757729386e-06,0.0004920394241336723,0.003905824697806537,0.0001646070824934398,1.6251231840236358e-06,4.700217461461875e-06,1.3495395507767682e-06
